gameId,seasonYear,League,homeTeamId,awayTeamId,Date,startTime,status,homeScore,awayScore
9808,2021,standard,2,25,2021-11-20,19:30,Finished,111,105
9809,2021,standard,21,26,2021-11-20,20:00,Finished,117,108
9810,2021,standard,22,19,2021-11-20,20:00,Finished,138,95
9811,2021,standard,29,27,2021-11-20,22:00,Finished,118,111
9812,2021,standard,30,40,2021-11-20,22:00,Finished,105,123
9813,2021,standard,16,8,2021-11-21,15:30,Finished,97,91
9814,2021,standard,10,17,2021-11-21,18:00,Finished,116,121
9815,2021,standard,6,24,2021-11-21,20:00,Finished,109,103
9816,2021,standard,28,9,2021-11-21,20:00,Finished,126,97
9817,2021,standard,11,38,2021-11-21,20:30,Finished,119,104
9818,2021,standard,7,4,2021-11-22,19:00,Finished,112,117
9819,2021,standard,41,5,2021-11-22,19:00,Finished,103,109
9820,2021,standard,1,25,2021-11-22,19:30,Finished,113,101
9821,2021,standard,2,14,2021-11-22,19:30,Finished,108,90
9822,2021,standard,6,15,2021-11-22,20:00,Finished,77,109
9823,2021,standard,21,26,2021-11-22,20:00,Finished,123,92
9824,2021,standard,23,22,2021-11-22,20:00,Finished,96,110
9825,2021,standard,31,28,2021-11-22,20:30,Finished,111,115
9826,2021,standard,40,19,2021-11-22,21:00,Finished,118,119
9827,2021,standard,30,27,2021-11-22,22:00,Finished,94,102
9828,2021,standard,10,20,2021-11-23,19:00,Finished,92,100
9829,2021,standard,24,17,2021-11-23,19:30,Finished,106,100
9830,2021,standard,29,9,2021-11-23,22:00,Finished,119,100
9831,2021,standard,16,8,2021-11-23,22:30,Finished,104,112
9832,2021,standard,7,28,2021-11-24,19:00,Finished,115,120
9833,2021,standard,15,17,2021-11-24,19:00,Finished,116,124
9834,2021,standard,26,5,2021-11-24,19:00,Finished,99,106
9835,2021,standard,2,4,2021-11-24,19:30,Finished,104,123
9836,2021,standard,14,6,2021-11-24,20:00,Finished,118,113
9837,2021,standard,19,38,2021-11-24,20:00,Finished,113,126
9838,2021,standard,21,10,2021-11-24,20:00,Finished,114,93
9839,2021,standard,22,20,2021-11-24,20:00,Finished,113,101
9840,2021,standard,23,41,2021-11-24,20:00,Finished,127,102
9841,2021,standard,25,40,2021-11-24,20:00,Finished,104,110
9842,2021,standard,31,1,2021-11-24,20:30,Finished,106,124
9843,2021,standard,11,27,2021-11-24,22:00,Finished,116,96
9844,2021,standard,30,29,2021-11-24,22:00,Finished,125,121
9845,2021,standard,16,10,2021-11-26,15:30,Finished,107,96
9846,2021,standard,5,22,2021-11-26,19:00,Finished,133,115
9847,2021,standard,24,28,2021-11-26,19:00,Finished,97,118
9848,2021,standard,26,6,2021-11-26,19:00,Finished,88,123
9849,2021,standard,15,38,2021-11-26,20:00,Finished,114,97
9850,2021,standard,19,1,2021-11-26,20:00,Finished,100,132
9851,2021,standard,25,41,2021-11-26,20:00,Finished,99,101
9852,2021,standard,31,2,2021-11-26,20:30,Finished,96,88
9853,2021,standard,9,21,2021-11-26,21:00,Finished,109,120
9854,2021,standard,40,23,2021-11-26,21:00,Finished,97,98
9855,2021,standard,11,29,2021-11-26,22:00,Finished,118,103
9856,2021,standard,17,30,2021-11-26,22:30,Finished,137,141
9857,2021,standard,27,22,2021-11-27,18:00,Finished,120,121
9858,2021,standard,1,24,2021-11-27,19:30,Finished,90,99
9859,2021,standard,4,28,2021-11-27,19:30,Finished,107,113
9860,2021,standard,7,26,2021-11-27,20:00,Finished,105,92
9861,2021,standard,6,20,2021-11-27,20:00,Finished,104,107
9862,2021,standard,14,5,2021-11-27,20:00,Finished,146,143
9863,2021,standard,8,41,2021-11-27,20:30,Finished,114,120
9864,2021,standard,40,23,2021-11-27,21:00,Finished,127,105
9865,2021,standard,16,11,2021-11-28,15:30,Finished,90,105
9866,2021,standard,15,21,2021-11-28,17:00,Finished,100,118
9867,2021,standard,38,2,2021-11-28,18:00,Finished,97,109
9868,2021,standard,19,30,2021-11-28,18:00,Finished,128,101
9869,2021,standard,17,10,2021-11-28,21:30,Finished,110,106
9870,2021,standard,27,26,2021-11-29,19:00,Finished,101,96
9871,2021,standard,20,9,2021-11-29,19:30,Finished,111,120
9094,2021,standard,14,25,2021-11-29,20:00,Finished,102,89
9095,2021,standard,22,15,2021-11-29,20:00,Finished,100,98
9872,2021,standard,6,5,2021-11-29,20:00,Finished,133,119
9096,2021,standard,8,7,2021-11-29,20:30,Finished,96,114
9097,2021,standard,31,41,2021-11-29,20:30,Finished,116,99
9098,2021,standard,40,29,2021-11-29,21:00,Finished,129,107
9099,2021,standard,16,23,2021-11-29,22:30,Finished,104,123
9100,2021,standard,4,24,2021-11-30,19:30,Finished,112,110
9101,2021,standard,38,19,2021-11-30,19:30,Finished,91,98
9102,2021,standard,28,11,2021-11-30,22:00,Finished,104,96
9103,2021,standard,29,10,2021-11-30,22:00,Finished,110,92
9104,2021,standard,30,17,2021-11-30,22:00,Finished,92,117
9105,2021,standard,15,1,2021-12-01,19:00,Finished,111,114
9106,2021,standard,26,9,2021-12-01,19:00,Finished,108,103
9107,2021,standard,41,22,2021-12-01,19:00,Finished,115,107
9108,2021,standard,2,27,2021-12-01,19:30,Finished,88,87
9109,2021,standard,20,7,2021-12-01,19:30,Finished,85,111
9110,2021,standard,21,5,2021-12-01,20:00,Finished,127,125
9111,2021,standard,23,8,2021-12-01,20:00,Finished,107,139
9112,2021,standard,25,14,2021-12-01,20:00,Finished,110,114
9113,2021,standard,16,30,2021-12-01,22:30,Finished,115,124
9114,2021,standard,24,6,2021-12-02,19:30,Finished,115,119
9115,2021,standard,38,21,2021-12-02,19:30,Finished,97,93
9116,2021,standard,19,25,2021-12-02,20:00,Finished,152,79
9117,2021,standard,28,10,2021-12-02,21:00,Finished,114,103
9118,2021,standard,29,31,2021-12-02,22:00,Finished,83,114
9119,2021,standard,15,20,2021-12-03,19:00,Finished,104,113
9120,2021,standard,41,7,2021-12-03,19:00,Finished,101,116
9121,2021,standard,1,27,2021-12-03,19:30,Finished,96,98
9122,2021,standard,4,22,2021-12-03,19:30,Finished,110,105
9123,2021,standard,14,26,2021-12-03,20:00,Finished,118,116
9124,2021,standard,8,23,2021-12-03,20:30,Finished,91,107
9125,2021,standard,40,2,2021-12-03,21:00,Finished,137,130
9126,2021,standard,11,28,2021-12-03,22:00,Finished,118,96
9127,2021,standard,17,16,2021-12-03,22:00,Finished,115,119
9128,2021,standard,24,9,2021-12-04,13:00,Finished,99,113
9129,2021,standard,4,6,2021-12-04,20:00,Finished,107,111
9130,2021,standard,21,20,2021-12-04,20:00,Finished,124,102
9131,2021,standard,8,19,2021-12-04,20:30,Finished,90,97
9132,2021,standard,11,31,2021-12-04,20:30,Finished,107,112
9133,2021,standard,29,2,2021-12-04,22:00,Finished,117,145
9134,2021,standard,30,16,2021-12-04,22:00,Finished,104,99
9135,2021,standard,7,40,2021-12-05,15:30,Finished,108,109
9136,2021,standard,1,5,2021-12-05,18:00,Finished,127,130
9137,2021,standard,38,41,2021-12-05,18:00,Finished,102,90
9138,2021,standard,14,23,2021-12-05,19:00,Finished,118,108
9139,2021,standard,5,27,2021-12-06,19:00,Finished,124,127
9140,2021,standard,10,25,2021-12-06,19:00,Finished,103,114
9141,2021,standard,15,41,2021-12-06,19:00,Finished,116,110
9142,2021,standard,20,19,2021-12-06,19:30,Finished,90,105
9143,2021,standard,6,9,2021-12-06,20:00,Finished,109,97
9144,2021,standard,21,7,2021-12-06,20:00,Finished,112,104
9145,2021,standard,22,1,2021-12-06,20:00,Finished,110,121
9146,2021,standard,28,31,2021-12-06,21:00,Finished,108,104
9147,2021,standard,11,26,2021-12-06,22:00,Finished,126,95
9148,2021,standard,29,16,2021-12-06,22:00,Finished,90,102
9149,2021,standard,8,4,2021-12-07,19:30,Finished,99,102
9150,2021,standard,31,24,2021-12-07,20:30,Finished,109,121
