index,LEAGUE,PLAYER,POS,TEAM,GAME,FP,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP,DATE
203,NBA,Ty Jerome,PG,OKC,OKC@DAL,9.6,5.2,13,1.9,5.0,1.5,1.4,1.1,0.3,0.1,0.4,0.6,0.6,0.78,0.38,2022-01-17
204,NBA,Davis Bertans,SF,WAS,PHI@WAS,9.5,6.0,16,1.9,4.8,0.6,2.1,1.8,0.3,0.3,0.3,0.4,0.8,0.89,0.4,2022-01-17
205,NBA,Landry Shamet,PG,PHO,PHO@SA,9.3,5.8,17,1.9,4.7,1.1,1.2,1.2,0.1,0.1,0.4,0.4,0.6,0.85,0.4,2022-01-17
206,NBA,Gorgui Dieng,PF,ATL,MIL@ATL,9.2,4.2,11,1.5,2.9,0.7,3.2,2.6,0.5,0.4,0.4,0.5,0.7,0.8,0.52,2022-01-17
207,NBA,Jock Landale,C,SA,PHO@SA,9.2,5.0,11,1.8,3.7,1.0,2.3,1.2,1.2,0.4,0.2,0.7,0.9,0.88,0.49,2022-01-17
208,NBA,Kevin Knox,PF,ATL,MIL@ATL,9.1,5.7,14,1.9,5.0,0.6,2.3,2,0.3,0.2,0.3,0.5,0.9,0.71,0.38,2022-01-17
209,NBA,Lou Williams,SG,ATL,MIL@ATL,9.1,5.3,11,1.7,4.4,1.6,1.1,0.9,0.1,0.1,0.3,0.8,1.3,0.86,0.39,2022-01-17
210,NBA,Mike Muscala,C,OKC,OKC@DAL,9.1,5.5,12,1.8,4.4,0.5,2.3,1.9,0.4,0.4,0.3,0.3,0.7,0.88,0.41,2022-01-17
211,NBA,Eric Paschall,PF,UTA,UTA@LAL,9.0,5.7,13,2.1,4.1,0.7,2.2,1.4,0.7,0.1,0.2,0.6,1.1,0.75,0.51,2022-01-17
212,NBA,John Konchar,SG,MEM,CHI@MEM,8.8,3.4,12,1.3,2.4,0.9,3.2,2.3,0.9,0.1,0.5,0.3,0.2,0.64,0.54,2022-01-17
213,NBA,Yuta Watanabe,PF,TOR,TOR@MIA,8.7,4.5,15,1.6,4.2,0.7,2.6,2.1,0.5,0.4,0.5,0.7,0.5,0.62,0.38,2022-01-17
214,NBA,Aleksej Pokusevski,C,OKC,OKC@DAL,8.7,4.1,14,1.6,4.6,1.0,3.0,2.5,0.6,0.4,0.3,0.9,0.2,0.6,0.35,2022-01-17
215,NBA,Aaron Holiday,PG,WAS,PHI@WAS,8.5,4.7,13,1.8,4.1,1.4,1.2,1,0.2,0.1,0.3,0.6,0.6,0.82,0.44,2022-01-17
216,NBA,Moritz Wagner,PF,ORL,POR@ORL,8.5,5.0,10,1.8,3.6,0.7,2.3,1.9,0.4,0.3,0.3,0.6,0.9,0.8,0.5,2022-01-17
