index,gameId,seasonYear,League,homeTeamId,awayTeamId,startDate,startTime,status,homeScore,awayScore
306,9806,2021,standard,41,20,2021-11-20,19:00,Finished,103,100
307,9807,2021,standard,1,5,2021-11-20,19:30,Finished,115,105
308,9808,2021,standard,2,25,2021-11-20,19:30,Finished,111,105
309,9809,2021,standard,21,26,2021-11-20,20:00,Finished,117,108
310,9810,2021,standard,22,19,2021-11-20,20:00,Finished,138,95
311,9811,2021,standard,29,27,2021-11-20,22:00,Finished,118,111
312,9812,2021,standard,30,40,2021-11-20,22:00,Finished,105,123
313,9813,2021,standard,16,8,2021-11-21,15:30,Finished,97,91
314,9814,2021,standard,10,17,2021-11-21,18:00,Finished,116,121
315,9815,2021,standard,6,24,2021-11-21,20:00,Finished,109,103
316,9816,2021,standard,28,9,2021-11-21,20:00,Finished,126,97
317,9817,2021,standard,11,38,2021-11-21,20:30,Finished,119,104
318,9818,2021,standard,7,4,2021-11-22,19:00,Finished,112,117
319,9819,2021,standard,41,5,2021-11-22,19:00,Finished,103,109
320,9820,2021,standard,1,25,2021-11-22,19:30,Finished,113,101
321,9821,2021,standard,2,14,2021-11-22,19:30,Finished,108,90
322,9822,2021,standard,6,15,2021-11-22,20:00,Finished,77,109
323,9823,2021,standard,21,26,2021-11-22,20:00,Finished,123,92
324,9824,2021,standard,23,22,2021-11-22,20:00,Finished,96,110
325,9825,2021,standard,31,28,2021-11-22,20:30,Finished,111,115
326,9826,2021,standard,40,19,2021-11-22,21:00,Finished,118,119
327,9827,2021,standard,30,27,2021-11-22,22:00,Finished,94,102
328,9828,2021,standard,10,20,2021-11-23,19:00,Finished,92,100
329,9829,2021,standard,24,17,2021-11-23,19:30,Finished,106,100
330,9830,2021,standard,29,9,2021-11-23,22:00,Finished,119,100
331,9831,2021,standard,16,8,2021-11-23,22:30,Finished,104,112
332,9832,2021,standard,7,28,2021-11-24,19:00,Finished,115,120
333,9833,2021,standard,15,17,2021-11-24,19:00,Finished,116,124
334,9834,2021,standard,26,5,2021-11-24,19:00,Finished,99,106
335,9835,2021,standard,2,4,2021-11-24,19:30,Finished,104,123
